stop_id,stop_name,stop_lon,stop_lat
7612,Davenport Hotel Merrion Street,-6.250529480367451,53.3413467794909
2,"Rotunda, Parnell Square West",-6.26372321891887,53.3522443611383
3,"Rotunda, Granby Place",-6.26381074216825,53.35230855143251
4,"Rotunda, Rotunda Hospital",-6.26417548603797,53.352574513185
6,"Rotunda, Saint Martin's Chapel",-6.264453803964338,53.3527493357046
7,"Rotunda, Rotunda Hospital",-6.26457026121749,53.352840910578394
8,"Rotunda, Parnell Square West",-6.265183676574,53.3532722714822
10,"Rotunda, Parnell Square West",-6.2653891238995385,53.3533921036473
11,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",-6.2646283106692815,53.3569583030018
12,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",-6.264589471363911,53.356804940545
14,"Phibsborough, Lower Dorset Street",-6.26277650570871,53.358531237875795
15,"Ballybough, Lower Dorset Street",-6.261090470313599,53.360088584135895
16,"Cabra, John Paul Park",-6.3056141835273705,53.366391557141114
17,"Drumcondra, Outside Train Station",-6.258435917333991,53.36291707327501
18,"Drumcondra, Lower Drumcondra Road",-6.25595682067835,53.365855925916605
19,"Drumcondra, Lower Drumcondra Road",-6.25551350128863,53.3671437314429
21,"Drumcondra (Dublin), Saint Patrick's College",-6.25431059904442,53.3701011992947
22,"Drumcondra (Dublin), Home Farm Road (Achill Road)",-6.25280375269006,53.3735036097406
23,"Drumcondra (Dublin), Ferguson Road",-6.256261004167,53.374228280079095
24,"Drumcondra (Dublin), Home Farm Road",-6.26037234812319,53.375133158884104
25,"Glasnevin, Rathlin Road",-6.26361773641709,53.375899466147395
27,"Glasnevin, Ballymun Road (Griffith Avenue)",-6.266585261260032,53.3794389600107
28,"Wadelai, Glasnevin Tennis Club",-6.26600227077738,53.381578637628
29,"Whitehall (Dublin City), Ballymun Road",-6.26566910125417,53.383488252945696
30,"Cabra, Pope John Paul II Park",-6.304601169229128,53.3703319001931
31,"Wadelai, Maolbuille Road",-6.268858077275,53.3860332259144
32,"Wadelai, Saint Pappin's Road",-6.2713772010414015,53.386195568073795
33,"Wadelai, Glasnevin Drive",-6.27177114122451,53.3887179243058
35,"Wadelai, Dean Swift Road",-6.2709106925409985,53.386206787101294
36,"Wadelai, Saint Pappin's Road",-6.267877069783387,53.386126850410996
37,"Whitehall (Dublin City), DCU Ballymun Road",-6.264886981317941,53.385346401194
38,"Whitehall (Dublin City), Ballymun Road",-6.265509521205058,53.3822365941636
39,"Glasnevin, Ballymun Road (Griffith Avenue)",-6.265658759065889,53.3804141869323
40,"Glasnevin, Mobhi Road",-6.26466896852795,53.37666076545071
41,"Drumcondra (Dublin), Home Farm Road",-6.26185800624669,53.37555926832579
42,"Drumcondra (Dublin), Ferguson Road",-6.25746118972134,53.3746502734575
43,"Drumcondra (Dublin), Home Farm Road (Achill Road)",-6.253901310433919,53.37386122022679
44,"Drumcondra (Dublin), Homefarm Road",-6.25213230324296,53.3730174091204
45,"Drumcondra, Upper Drumcondra Road",-6.254089717169911,53.369990110962895
46,"Drumcondra (Dublin), Botanic Avenue",-6.25537796909961,53.3671507382056
47,"Drumcondra, Near Train Station",-6.25729825652802,53.3639161189927
48,"Summerhill (Dublin City), Lower Drumcondra Road",-6.25879046525832,53.362329033001004
49,"Ballybough, Lower Dorset Street",-6.26089745848732,53.360031842720794
51,Upper Dorset St (Temple Street),-6.26324925121845,53.3579898458103
52,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",-6.264499747697282,53.3567946474934
53,"Phibsborough, North Circular Road (Lower Dorset Street)",-6.26279128910753,53.3600144884223
54,"Phibsborough, North Circular Road (Mater Hospital)",-6.265565220090599,53.360153709098505
55,"Phibsborough, Mater Hospital Mortuary",-6.26846957982236,53.3604116029234
56,"Phibsborough, Cabra Road (North Circular Road)",-6.2763736549141,53.3607597246041
57,"Phibsborough, Cabra Road (North Circular Road)",-6.276551674843312,53.360816224291895
58,"Cabra East, Cabra Road (Charleville Road)",-6.28120420246723,53.360946245891284
59,"Cabra East, Cabra Road (near Annamoe Terrace)",-6.28494256312827,53.361018010196396
60,"Cabra East, Cabra Road (Quarry Road)",-6.28936450005445,53.361279219648196
63,"Cabra East, Faussagh Avenue",-6.29275010805854,53.36679243729299
